"Year","County","Population"
2016,Baca,3557.0
2016,Bent,5626.0
2016,Boulder,321989.0
2016,Broomfield,66252.0
2016,Chaffee,19097.0
2016,Cheyenne,1853.0
2016,Clear Creek,9443.0
2016,Conejos,8039.0
2016,Costilla,3707.0
2016,Crowley,5214.0
2016,Custer,4617.0
2016,Delta,30471.0
2016,Denver,693292.0
2016,Dolores,2035.0
2016,Douglas,328330.0
2016,Eagle,53928.0
2016,El Paso,690207.0
2016,Elbert,25169.0
2016,Fremont,47487.0
2016,Garfield,58984.0
2016,Gilpin,5926.0
2016,Grand,15039.0
2016,Gunnison,16394.0
2016,Hinsdale,775.0
2016,Huerfano,6642.0
2016,Jackson,1351.0
2016,Jefferson,571711.0
2016,Kiowa,1347.0
2016,Kit Carson,7639.0
