"Year","County","PercentChangeSince2017","Basin"
2037,Weld,82.1038,South Platte
2037,Yuma,8.4438,South Platte
2038,Adams,47.5922,Metro
2038,Arapahoe,33.0228,Metro
2038,Boulder,25.4068,South Platte
2038,Broomfield,42.1558,Metro
2038,Cheyenne,-4.5532,"South Platte, Arkansas"
2038,Clear Creek,17.7505,South Platte
2038,Denver,30.2499,Metro
2038,Douglas,35.6326,Metro
2038,Elbert,102.5506,"Metro, Arkansas"
2038,Gilpin,8.1761,South Platte
2038,Jefferson,16.5566,Metro
2038,Kit Carson,13.2556,South Platte
2038,Larimer,37.1038,South Platte
2038,Lincoln,31.9345,"Arkansas, South Platte"
2038,Logan,21.7754,South Platte
2038,Morgan,27.8927,South Platte
2038,Park,35.3964,South Platte
2038,Phillips,1.3006,South Platte
2038,Sedgwick,-4.4133,South Platte
2038,Teller,25.6411,"Arkansas, South Platte"
2038,Washington,2.1956,South Platte
2038,Weld,86.5604,South Platte
2038,Yuma,8.7741,South Platte
2039,Adams,49.8171,Metro
2039,Arapahoe,34.3300,Metro
2039,Boulder,26.5235,South Platte
2039,Broomfield,42.0838,Metro
2039,Cheyenne,-5.1063,"South Platte, Arkansas"
2039,Clear Creek,18.8657,South Platte
2039,Denver,30.8966,Metro
2039,Douglas,36.8232,Metro
2039,Elbert,106.8675,"Metro, Arkansas"
2039,Gilpin,8.4413,South Platte
2039,Jefferson,17.0071,Metro
2039,Kit Carson,14.1645,South Platte
2039,Larimer,38.7502,South Platte
2039,Lincoln,33.7116,"Arkansas, South Platte"
2039,Logan,22.6922,South Platte
2039,Morgan,29.7040,South Platte
2039,Park,35.9295,South Platte
2039,Phillips,1.0864,South Platte
2039,Sedgwick,-4.7812,South Platte
2039,Teller,26.4152,"Arkansas, South Platte"
2039,Washington,1.7638,South Platte
2039,Weld,91.0008,South Platte
2039,Yuma,9.2119,South Platte
2040,Adams,52.0281,Metro
2040,Arapahoe,35.6168,Metro
2040,Boulder,27.6201,South Platte
2040,Broomfield,41.9623,Metro
2040,Cheyenne,-5.6643,"South Platte, Arkansas"
2040,Clear Creek,19.9875,South Platte
2040,Denver,31.5064,Metro
2040,Douglas,37.9212,Metro
2040,Elbert,111.1102,"Metro, Arkansas"
2040,Gilpin,8.7104,South Platte
2040,Jefferson,17.4363,Metro
2040,Kit Carson,15.0752,South Platte
2040,Larimer,40.4488,South Platte
2040,Lincoln,35.3122,"Arkansas, South Platte"
2040,Logan,23.6008,South Platte
2040,Morgan,31.5221,South Platte
2040,Park,36.2248,South Platte
2040,Phillips,1.0812,South Platte
2040,Sedgwick,-4.7256,South Platte
2040,Teller,27.1765,"Arkansas, South Platte"
2040,Washington,1.3394,South Platte
2040,Weld,95.4249,South Platte
2040,Yuma,9.5293,South Platte
2041,Adams,54.2259,Metro
2041,Arapahoe,36.6441,Metro
2041,Boulder,28.6961,South Platte
2041,Broomfield,41.7988,Metro
2041,Cheyenne,-6.2293,"South Platte, Arkansas"
2041,Clear Creek,21.1173,South Platte
2041,Denver,32.0764,Metro
2041,Douglas,38.9271,Metro
2041,Elbert,115.2834,"Metro, Arkansas"
2041,Gilpin,8.9797,South Platte
2041,Jefferson,17.8464,Metro
2041,Kit Carson,15.9912,South Platte
2041,Larimer,42.2017,South Platte
2041,Lincoln,36.9133,"Arkansas, South Platte"
2041,Logan,24.5014,South Platte
2041,Morgan,33.3474,South Platte
2041,Park,36.2840,South Platte
2041,Phillips,1.0986,South Platte
2041,Sedgwick,-4.6503,South Platte
2041,Teller,27.9331,"Arkansas, South Platte"
2041,Washington,0.9271,South Platte
2041,Weld,99.8663,South Platte
2041,Yuma,9.8423,South Platte
2042,Adams,56.5141,Metro
2042,Arapahoe,37.0829,Metro
2042,Boulder,29.7488,South Platte
2042,Broomfield,41.5988,Metro
2042,Cheyenne,-6.8033,"South Platte, Arkansas"
2042,Clear Creek,22.2538,South Platte
2042,Denver,32.6049,Metro
2042,Douglas,39.8405,Metro
2042,Elbert,119.3892,"Metro, Arkansas"
2042,Gilpin,9.2444,South Platte
2042,Jefferson,18.2020,Metro
2042,Kit Carson,16.9117,South Platte
2042,Larimer,43.9438,South Platte
2042,Lincoln,38.5108,"Arkansas, South Platte"
2042,Logan,25.3930,South Platte
2042,Morgan,35.1794,South Platte
2042,Park,36.3120,South Platte
2042,Phillips,1.1380,South Platte
2042,Sedgwick,-4.5556,South Platte
2042,Teller,28.6870,"Arkansas, South Platte"
2042,Washington,0.5264,South Platte
2042,Weld,104.3683,South Platte
2042,Yuma,10.1482,South Platte
2043,Adams,58.7959,Metro
2043,Arapahoe,37.4759,Metro
2043,Boulder,30.7789,South Platte
2043,Broomfield,41.3700,Metro
2043,Cheyenne,-7.3846,"South Platte, Arkansas"
2043,Clear Creek,23.3994,South Platte
2043,Denver,33.0909,Metro
2043,Douglas,40.6641,Metro
2043,Elbert,123.4332,"Metro, Arkansas"
2043,Gilpin,9.5035,South Platte
2043,Jefferson,18.5050,Metro
2043,Kit Carson,17.8398,South Platte
2043,Larimer,45.6747,South Platte
2043,Lincoln,40.1047,"Arkansas, South Platte"
2043,Logan,26.2778,South Platte
2043,Morgan,37.0214,South Platte
2043,Park,36.3141,South Platte
2043,Phillips,1.2041,South Platte
2043,Sedgwick,-4.4435,South Platte
2043,Teller,29.4529,"Arkansas, South Platte"
2043,Washington,0.1435,South Platte
2043,Weld,108.8833,South Platte
2043,Yuma,10.4499,South Platte
2044,Adams,61.0730,Metro
2044,Arapahoe,37.8240,Metro
2044,Boulder,31.7874,South Platte
2044,Broomfield,41.1194,Metro
2044,Cheyenne,-7.9719,"South Platte, Arkansas"
2044,Clear Creek,24.5543,South Platte
2044,Denver,33.5345,Metro
2044,Douglas,41.4020,Metro
2044,Elbert,127.4209,"Metro, Arkansas"
2044,Gilpin,9.7556,South Platte
2044,Jefferson,18.7575,Metro
2044,Kit Carson,18.7795,South Platte
2044,Larimer,47.3939,South Platte
2044,Lincoln,41.6930,"Arkansas, South Platte"
2044,Logan,27.1556,South Platte
2044,Morgan,38.8749,South Platte
2044,Park,36.2941,South Platte
2044,Phillips,1.2950,South Platte
2044,Sedgwick,-4.3158,South Platte
2044,Teller,30.2213,"Arkansas, South Platte"
2044,Washington,-0.2216,South Platte
2044,Weld,113.4116,South Platte
2044,Yuma,10.7462,South Platte
2045,Adams,63.3472,Metro
2045,Arapahoe,38.1294,Metro
2045,Boulder,32.7769,South Platte
2045,Broomfield,40.8525,Metro
2045,Cheyenne,-8.5632,"South Platte, Arkansas"
2045,Clear Creek,25.7173,South Platte
2045,Denver,33.9367,Metro
2045,Douglas,42.0598,Metro
2045,Elbert,131.3586,"Metro, Arkansas"
2045,Gilpin,10.0001,South Platte
2045,Jefferson,18.9976,Metro
2045,Kit Carson,19.7372,South Platte
2045,Larimer,49.1031,South Platte
2045,Lincoln,43.2754,"Arkansas, South Platte"
2045,Logan,28.0267,South Platte
2045,Morgan,40.7403,South Platte
2045,Park,36.2568,South Platte
2045,Phillips,1.4093,South Platte
2045,Sedgwick,-4.1722,South Platte
2045,Teller,31.0044,"Arkansas, South Platte"
2045,Washington,-0.5700,South Platte
2045,Weld,117.9545,South Platte
2045,Yuma,11.0366,South Platte
2046,Adams,65.6200,Metro
2046,Arapahoe,38.3952,Metro
2046,Boulder,33.7503,South Platte
2046,Broomfield,40.5739,Metro
2046,Cheyenne,-9.1565,"South Platte, Arkansas"
2046,Clear Creek,26.8878,South Platte
2046,Denver,34.3020,Metro
2046,Douglas,42.6430,Metro
2046,Elbert,135.2516,"Metro, Arkansas"
2046,Gilpin,10.2362,South Platte
2046,Jefferson,19.2284,Metro
2046,Kit Carson,20.7168,South Platte
2046,Larimer,50.8034,South Platte
2046,Lincoln,44.8514,"Arkansas, South Platte"
2046,Logan,28.8912,South Platte
2046,Morgan,42.6184,South Platte
2046,Park,36.2061,South Platte
2046,Phillips,1.5454,South Platte
2046,Sedgwick,-4.0185,South Platte
2046,Teller,31.7917,"Arkansas, South Platte"
2046,Washington,-0.9037,South Platte
2046,Weld,122.5132,South Platte
2046,Yuma,11.3204,South Platte
2047,Adams,67.8929,Metro
